# Décisions éditoriales, cumulées au fil des revues.
#
# keep    : validé, et conservé même si un plancher venait à monter.
# drop    : écarté du catalogue.
# promote : remonté dans le classement. Sur un lieu hors de sa collection
#           nationale, il l'y fait ENTRER, à son rang, et rien de plus.
# promote2: le fait entrer ET le monte d'un cran. À n'employer que là où
#           `promote` ne ferait qu'entrer — ailleurs il vaut `promote`.
# demote  : descendu dans le classement.
#
# Ce fichier est la mémoire de la curation. Le supprimer perd tout le travail
# de relecture ; en corriger une ligne suffit à revenir sur un verdict.
#
wikidata_id,decision,name,note
Q3361333,demote,Palazzo Spinola di Pellicceria,
Q3378175,keep,Phare de Bari,
Q338330,keep,Galeries de l'Académie,
Q338367,keep,Académie Carrara,
Q3393181,keep,Poetto,
Q34615,drop,Adria,
Q34921,keep,Place du Capitole,
Q351826,drop,Wipptal,
Q352845,drop,Grotte de l'Addaura,
Q3593349,keep,Île de Capraia,
Q3623078,demote,Armurerie Royale de Turin,
Q363425,drop,Val d'Ultimo,
Q3657228,demote,Capocotta,
Q365867,drop,Ridnauntal,
Q3661293,keep,Casa di Giulietta,
Q3661539,keep,Cascade de Parcines,
Q3661552,keep,Cascades de Nardis,
Q3661554,keep,Cascades du Varone,
Q3661556,keep,Cascate del Serio,
Q3661559,keep,Cascades de Barbiano,
Q3661568,keep,Cascades de Stanghe,
Q3662370,promote,Rocca Scaligera,
Q3683240,drop,Colline de Camaldoli,
Q369765,drop,Carnie,
Q36989690,keep,Cascade de Lillaz,
Q370873,drop,Vallée de Muggio,
Q372769,keep,Phare de Punta Carena,
Q37329,keep,Cascade du Toce,
Q3739193,demote,Phare de Livourne,
Q3739761,drop,Phare de Cap de Caça,
Q3739765,keep,Phare de Capo Testa,
Q3746246,demote,Fiumelatte,
Q3777010,drop,Grotte de Paglicci,
Q382552,drop,Val di Sole,
Q384885,drop,Val Gardena,
Q38580,keep,Cascata delle Marmore,
Q385910,keep,Basilique Saint-Clément-du-Latran,
Q388448,keep,Musée national du Bargello,
Q3889530,drop,Palais Ambrogio Di Negro,
Q3889577,drop,Palais Baldassarre Lomellini,
Q3889631,drop,Palais Belimbau,
Q3889811,drop,Palais Tobia-Pallavicino,
Q3890183,keep,Palais Gerolamo Grimaldi,
Q3890337,drop,Palais Lercari-Parodi,
Q3890351,drop,Palais Lomellini-Doria Lamba,
Q3890451,drop,Palais Massimo des Thermes,
Q3890545,drop,Palazzo Ayrolo Negrone,
Q3890590,drop,Palais Pallavicini-Cambiaso,
Q39054,keep,Tour de Pise,
Q3907993,drop,Pont Morandi,
Q392980,drop,Vallée Sessera,
Q3936338,demote,Grotte de Fumane,
Q3951389,keep,Scala dei Turchi,
Q39971,drop,Géla,
Q4007393,drop,Val Rendena,
Q4008183,drop,Vallée de Comino,
Q4016622,keep,Volcan Albain,
Q41700210,drop,Valle Latina,
Q42003,keep,Jardins du Vatican,
Q426339,keep,Palais royal de Naples,
Q431403,keep,Phare de San Venerio,
Q43332,keep,Pompéi,
Q445369,promote,Lac de Braies,
Q45328,keep,Île d'Elbe,
Q454201,drop,Vallée Antigorio,
Q463400,keep,Piazza Navona,
Q470777,keep,Mont Amiata,
Q472776,drop,Val di Landro,
Q4779852,drop,Apiolae,ville disparue  emplacement inconnu
Q48315714,keep,Cascade Piscina Irgas,
Q486382,keep,Château Saint-Ange,
Q487929,drop,Milazzo,
Q4951156,drop,Sicile,
Q497321,keep,Linosa,
Q497339,keep,Marettimo,
Q497357,keep,Île de Levanzo,
Q499519,keep,Lipari,
Q502098,keep,Thermes de Caracalla,
Q505574,keep,Villa Almerico Capra,
Q505617,keep,Villa romaine du Casale,
Q505847,keep,Île de Salina,
Q506234,keep,Monument à Victor-Emmanuel II,
Q51108,keep,Piazza del Duomo,
Q51175,keep,Basilique Santa Maria Novella,
Q51177,keep,Basilique Santa Croce de Florence,
Q51252,keep,Galerie des Offices,
Q514366,keep,Abbaye de Pomposa,
Q521619,keep,Palais Strozzi,
Q523565,drop,Teatro San Benedetto,n'existe plus
Q524,keep,Vésuve,
Q52435,keep,Giudecca,
Q52437,keep,Murano,
Q52439,keep,Burano,
Q52441,keep,Torcello,
Q52501,keep,Pont de la Constitution,
Q52505,keep,Pont du Rialto,
Q52508,keep,Pont des Déchaussés,
Q52509,keep,Pont de l'Académie,
Q52517,keep,Pont des Soupirs,
Q525297,drop,Piazzale Loreto,
Q52531,keep,Basilique Santa Maria della Salute de Venise,
Q525626,drop,Passeier Valley,
Q528066,drop,Teatro comunale,fermé en 2014  remplacé par l'Opera di Firenze
Q538820,drop,Valdarno,
Q539874,drop,Vallagarina,
Q542070,keep,Basilique Saint-Pierre-aux-Liens,
Q545404,drop,Île Tibérine,
Q545557,drop,Val Vény,
Q545578,keep,Pont Santa Trinita,
Q54614,drop,Gioia Tauro,
Q5471,keep,La Scala,
Q547910,keep,Stabies,
Q550514,keep,Basilique San Nicola de Bari,
Q555143,demote,Balzi Rossi,
Q55606613,drop,Phare de Capo di Vado,
Q55739617,drop,Sassi et parc des églises rupestres de Matera,
Q568611,demote,Canne,
Q569253,keep,Basilique Santa Maria degli Angeli e dei Martiri,
Q573881,keep,Basilique San Lorenzo,
Q574740,demote,Jardins de Bomarzo,
Q5786,keep,Arc de Constantin,
Q59116,keep,Péninsule de Sorrente,
Q597957,keep,Villa Farnèse,
Q598892,keep,Jardin botanique de Padoue,
Q600139,drop,Aqueduc de l'Aqua Virgo,
Q602564,drop,Thourioï,
