# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q1219688,3,megalithes,Temple de Vesta
Q1220969,3,sommets,Monte Pisano
Q1225474,1,grottes,Grottes du Bue Marino
Q1227391,1,abbayes,Ermitage de Santa Caterina del Sasso
Q1227395,2,abbayes,Abbaye de Säben
Q1227543,3,megalithes,Via Domitiana
Q1228725,3,megalithes,Saticula
Q1229008,1,abbayes,Église et couvent de la Trinité-des-Monts de Rome
Q1229122,3,iles,Palmaiola
Q1231343,3,sommets,Resegone
Q1231483,3,villages,Sovana
Q1231948,3,villages,Populonia
Q1231982,3,sommets,Monte Rite
Q1232330,3,sommets,Pizzo di Gino
Q1233234,1,iles,Île d'Ortygie
Q1235330,3,piazzas,Piazza del Mercato
Q123540,3,villages,Arcevia
Q1236608,3,cathedrales,Dôme de Monza
Q1236752,3,lacs,Lago di Montepulciano
Q1238713,3,megalithes,Abacano
Q1239373,1,plages,Promontoire de l'Argentario
Q1239561,3,megalithes,Tauriana
Q123965,3,villages,Corinaldo
Q1239998,3,cathedrales,Cathédrale de Pouzzoles
Q1240126,3,megalithes,Via Aemilia Scaura
Q1241262,3,maisons,Villa Palagonia
Q1241298,2,megalithes,Villa des Mystères
Q124436,3,villages,Morro d'Alba
Q124512,3,villages,Offagna
Q1246006,3,lacs,Lac de Vico
Q124690839,3,plages,Capo di Vado
Q124886,3,villages,Sassoferrato
Q1249309,1,iles,Pantelleria
Q1249840,1,lacs,Lac de Resia
Q12512,1,cathedrales,Basilique Saint-Pierre
Q1256487,3,cathedrales,Baptistère des Orthodoxes
Q1257207,1,sommets,Tre Cime di Lavaredo
Q1258865,3,musees,Villa Emo
Q1261544,1,maisons,Palais du Te
Q1262976,2,ponts,Pont de l'Amiral
Q1265593,3,monuments,Ca' Vendramin Calergi
Q1267415,3,lacs,Lago di Valdurna
Q1267721,3,monuments,Palais ducal d'Urbin
Q1268692,2,ponts,Ponte della Paglia
Q1268698,2,ponts,Pont des Flèches
Q1270723,2,musees,Scuola Grande de San Rocco
Q1276962,3,musees,Palais Schifanoia
Q1278477,2,monuments,Baptistère de Pise
Q1279458,3,musees,Complexe muséal Santa Maria della Scala
Q12798246,3,monuments,Palazzo Modello
Q128089,2,villages,Gaète
Q128170,2,villages,San Felice Circeo
Q128217,3,villages,Sperlonga
Q1282278,3,cathedrales,Cathédrale Saint-Martin
