# Candidats adoptés depuis OpenStreetMap.
#
# Trouvés parce qu'un lieu porte des horaires ou un tarif — un fait de terrain
# — là où Wikidata ne le classait dans aucune des classes interrogées. Ils
# n'ont aucun privilège : ils sont scorés, soumis au plancher de notoriété et
# dédoublonnés comme les autres. Ce fichier existe pour que `fetch` les
# retrouve, et pour qu'une ligne retirée à la main le reste.
#
wikidata_id,theme_id,note
Q3868416,musees,National Museum of Medieval and Modern Art of Basilicata
Q3868421,musees,Museo Nazionale dell'Alta Val D'Agri
Q3868430,musees,"National Museum, Locri"
Q3868431,musees,Museo nazionale di Santa Maria delle Monache
Q3868432,musees,Musée italien de la monnaie
Q3868444,musees,Musée permanent de la Nativité de Dalmine
Q3868457,musees,Museo Regionale della Bonifica di Ca' Vendramin
Q3868464,musees,Musée d'art médiéval et moderne
Q3868467,musees,Museo Storico Etnografico
Q3868475,musees,Musée historique de l'Arme des Carabiniers
Q3868479,musees,Museo storico di Bergamo
Q3868488,musees,
Q3880414,musees,Oasi di Sant'Alessio
Q3884705,monuments,Oratorio di San Michele
Q3890253,chateaux,Palazzo della Provincia
Q3890790,musees,Palazzo Roverella
Q3890846,musees,Sarcinelli palace
Q3890895,chateaux,Palazzo Sforza-Cesarini
Q3893449,megalithes,
Q3895374,musees,PAV - Parco d'Arte Vivente
Q3895574,musees,Parc de Pinocchio
Q3895614,monuments,Parco Giardino Sigurtà
Q3895699,megalithes,Parco nazionale delle incisioni rupestri di Naquane
Q3905105,musees,Pinacoteca civica Francesco Podesti
Q39058617,musees,Osteria Ai Pioppi
Q3944143,grottes,
Q3945629,megalithes,Sallianense
Q3957971,monuments,
Q3963841,musees,Society for Fine Arts and Permanent Exhibition
Q3966478,musees,Speleovivarium
Q3968798,musees,
Q3995593,monuments,Tower of Portixedda
Q4011896,chateaux,Villa Cicogna Mozzoni
Q4012260,chateaux,Villa Manzoni
Q4012772,megalithes,Villa di Tigellio
Q4012807,megalithes,Roman villa of Desenzano del Garda
Q48803518,musees,Musée archéologique national de Castiglioncello
Q48804666,musees,
Q48804678,musees,Museo archeologico dell'Agro atellano
Q49539063,jardins,Parco Trapezio
Q49963329,grottes,Buso della rana
Q49963917,monuments,Grotta di Rio Martino
Q51166,musees,Museo civico Luigi Bailo
Q527433,musees,Museo nazionale storico degli Alpini
Q52905823,musees,Toy Museum
Q5311241,musees,Ducati Museum
Q53673070,musees,Museo di Triora
Q53709929,musees,Museo diocesano
Q53709935,musees,Museum of the mask
Q54087644,musees,Civico museo archeologico di Arona
Q54803836,grottes,Grotte de Canova
Q54854695,musees,
Q54854704,musees,Museo Civico Archeologico
Q54854724,musees,Museo - Biblioteca Francesco Antonio Marcucci
Q54854928,musees,Leopardi's House
Q54855038,musees,
Q54855050,musees,Quadreria Cesarini
Q54855128,musees,Civica Raccolta d'Arte
Q54855178,musees,
Q54855312,musees,
Q54855369,musees,Museo del Fiume Bacchiglione
Q54869375,musees,Museo della città
Q54873836,chateaux,Castle of San Martino della Vaneza
Q54874254,megalithes,Domus and Bishop's Palace
Q54882667,musees,Ecomuseo di Leuzerie e Scherpelit
Q54887072,musees,Museo del Parco Nazionale della Val Grande
Q55179755,musees,Casa del Senato
Q55182712,chateaux,Palazzo dei marchesi di Clavesana
Q55183137,musees,Casa del Conte Verde
Q55340434,musees,Museo Carsico Geologico e Paleontologico
Q55340551,musees,"Museo d'arte moderna ""Ugo Carà"""
Q55340719,musees,
Q55348684,musees,Galleria Rizzi
Q55350141,musees,
Q55351863,musees,South Tyrolean Wine Museum
Q55351927,musees,Zeitreise Mensch
Q55351973,musees,
Q55351985,musees,Heimatmuseum Laatsch - Museo locale di Laudes
Q55352608,musees,Dolomythos
Q55352675,musees,Messner Mountain Museum Ortles
Q55352727,musees,Mining Museum Steinhaus
Q55354230,musees,
Q55354259,musees,Maison Gérard-Dayné
Q55359058,musees,Museo Civico della Navigazione Fluviale
Q55359110,musees,Museo civico di Montagnana
Q55359431,musees,
Q55359461,musees,Museo Geopaleontologico di Camposilvano
Q55359472,musees,Museo archeologico nazionale di Verona
Q55359562,musees,Museo dello Sbarco in Sicilia
Q55359587,musees,
Q55359630,musees,
