decision,curator_note,theme_id,name,wikidata_id
keep,,,"Abbaye de Vezzolano",Q1120660
keep,,,"Abbaye Saint-Fructueux-de-Tarragone",Q334365
keep,,,"Abbaye de Saint-Clément de Casauria",Q334414
promote,,maisons,"Villa Monastero",Q17494386
keep,,,"Eremo delle Carceri",Q1000040
keep,,,"Abbaye de Chiaravalle",Q860569
keep,,,"Abbaye Saint-Jean-l'Évangéliste",Q3603222
keep,,,"Abbaye de Staffarda",Q833321
keep,,,"Monastère de Fonte Avellana",Q978549
keep,,,"Basilique Saint-André",Q2886984
keep,,,"Abbaye de San Galgano",Q306153
keep,,,"Abbaye de Säben",Q1227395
keep,,,"Abbaye de Novacella",Q385925
keep,,,"Basilique Sainte-Claire de Naples",Q810104
demote,,,"Fiumelatte",Q3746246
keep,,,"Cathédrale Notre-Dame-de-l'Assomption de Sienne",Q282554
keep,,,"Basilique de Superga",Q1145261
keep,,,"Basilique Saint-Apollinaire-le-Neuf",Q832278
keep,,,"Basilique Saint-Paul-hors-les-Murs",Q231699
keep,,,"Église Santa Maria del Popolo",Q869513
keep,,,"Basilique San Lorenzo",Q573881
keep,,,"Basilique San Nicola de Bari",Q550514
keep,,,"Basilique Saint-Apollinaire de Classe",Q744552
keep,,,"Sanctuaire Madonna di San Luca",Q2004104
keep,,,"Basilique Sainte-Marie-Glorieuse-des-Frères de Venise",Q224961
keep,,,"Basilique Santa Maria degli Angeli e dei Martiri",Q569253
keep,,,"Église Saint-Ignace-de-Loyola de Rome",Q1465674
keep,,,"Cathédrale Notre-Dame-de-l'Assomption de Naples",Q256486
keep,,,"Basilique Saint-Pierre-aux-Liens",Q542070
keep,,,"Église du Santo",Q810139
keep,,,"Basilique de San Zanipolo",Q155225
keep,,,"Basilique Saint-Ambroise",Q1071570
keep,,,"Abbaye de Monreale",Q1303856
keep,,,"Basilique Santa Croce de Florence",Q51177
demote,,,"Cathédrale Saint-Jean-Baptiste de Turin",Q958699
keep,,,"Cathédrale d'Orvieto",Q10924
keep,,,"Basilique patriarcale d'Aquilée",Q810128
drop,,,"Église San Zaccaria",Q794876
keep,,,"Cathédrale de Trani",Q513023
keep,,,"Cathédrale de Palerme",Q1478407
keep,,,"Château de Fénis",Q607126
keep,,,"Castello dell’ovo",Q645041
keep,,,"Château de Melfi",Q3662690
keep,,,"Château du Bon-Conseil",Q247451
keep,,,"Château aragonais",Q1048809
keep,,,"Château d'Issogne",Q1147746
keep,,,"Château royal de Racconigi",Q19851
keep,,,"Palais de la Zisa",Q1000054
keep,,,"Château souabe de Trani",Q3662987
keep,,,"Château de Duino",Q2276731
keep,,,"Château Sant'Elmo",Q1048627
keep,,,"Château Scaliger de Malcesine",Q3662369
keep,,,"Château de Verrès",Q937190
keep,,,"Château Tyrol",Q1654198
keep,,,"Château San Giusto",Q1048860
keep,,,"Château d'Arco",Q224779
keep,,,"Château Visconti",Q3183228
keep,,,"Château Savoie",Q112485
keep,,,"Château aragonais",Q450145
demote,,,"Forteresse de Lucera",Q573650
demote,,,"Château d'Arechi",Q1174435
keep,,,"Château de Masino",Q2969832
keep,,,"Château d'Aymavilles",Q2968191
keep,,,"Rocca Roveresca",Q1650259
keep,,,"Castelli di Cannero",Q1048781
demote,,,"Grotte de Fumane",Q3936338
demote,,,"Balzi Rossi",Q555143
keep,,,"Arene Candide",Q642002
keep,,,"Linosa",Q497321
keep,,,"Île de Pianosa",Q208114
keep,,,"Lido de Venise",Q226221
keep,,,"Giudecca",Q52435
keep,,,"Île de Capraia",Q3593349
keep,,,"Tavolara",Q1126234
keep,,,"Isola Bella",Q174054
keep,,,"Palmaria",Q757114
keep,,,"Île de Salina",Q505847
keep,,,"Caprera",Q845310
keep,,,"Panarea",Q654105
keep,,,"Lipari",Q499519
keep,,,"Île San Pietro",Q912934
keep,,,"Isola dei Pescatori",Q304108
keep,,,"Marettimo",Q497339
keep,,,"Giannutri",Q19378
keep,,,"Pantelleria",Q1249309
keep,,,"Filicudi",Q743908
keep,,,"Île de Ponza",Q1133295
demote,,,"Isola Madre",Q1555998
keep,,,"Île de Levanzo",Q497357
keep,,,"Budelli",Q1892625
demote,,,"Vivara",Q1073353
keep,,,"Santo Stefano",Q909048
keep,,,"Île Saint-Jules",Q1674467
demote,,,"Jardins de Bomarzo",Q574740
keep,,,"Parco Sempione",Q133963
keep,,,"Parc du Valentino",Q1061804
keep,,,"Jardin Margherita",Q3763804
keep,,,"Lac de Nemi",Q648679
keep,,,"Lac d'Albano",Q849448
keep,,,"Lac Averne",Q782896
keep,,,"Lac de Carezza",Q1416530
keep,,,"Lac d'Idro",Q63148
keep,,,"Lac de Tovel",Q1432181
keep,,,"Lac de Ledro",Q1407745
keep,,,"Lac de Molveno",Q1112151
keep,,,"Lac de Tenno",Q1727103
keep,,,"Lac de Barcis",Q3825909
keep,,,"Lac de Campotosto",Q2518166
keep,,,"Lac d'Anterselva",Q572562
keep,,,"Lac de Mergozzo",Q1467712
keep,,,"Lac de Levico",Q1475787
keep,,,"Lac de Landro",Q691103
keep,,,"Lac d'Alleghe",Q3825896
keep,,,"Musée Enzo-Ferrari",Q3329137
keep,,,"Villa di Pratolino",Q1376633
keep,,,"Villa Barbaro",Q1071495
keep,,,"Palais royal de Gênes",Q1514006
keep,,,"Casa Buonarroti",Q2418618
keep,,,"Villa Medicea di Castello",Q2094778
keep,,,"Palais Colonna",Q1971299
keep,,,"Musée Stibbert",Q3329363
keep,,,"Villa Pisani",Q2060988
keep,,,"Villa Necchi Campiglio",Q2525507
