wikidata_id,theme_id,note,nom,departement,osm_id,horaires,tarif,site_web,lat,lon
Q55375606,musees,Museo dell'Ossidiana,Museo dell'Ossidiana,115,way/294225867,"Oct 01-Mar 31 We-Su 10:00-12:00,15:00-18:00; Apr 01-Sep 30 We-Su 10:00-12:00,16:00-19:00",yes,https://www.museossidiana.it/,39.792819,8.802992
,musees,"Museo dell'Orologio da Torre ""G.B. Bergallo""","Museo dell'Orologio da Torre ""G.B. Bergallo""",009,way/202331656,Oct-May: Fr-Su 15:00-18:00; Jun-Aug: Fr-Su 17:00-21:00; Sep Fr-Su 16:00-20:00,yes,https://www.museodellorologio.it,44.190078,8.260655
Q3329813,musees,Museo dell'Artigianato Valdostano di tradizione,Museo dell'Artigianato Valdostano di tradizione,007,way/151275029,"Apr 01-Jun 30: Tu-Su 10:00-12:30,13:30-17:00; Jul 01-Aug 31: Tu-Su 10:00-18:00; Sep 01-Oct 31: Tu-Su 10:00-12:30,13:30-17:00; Mo off; Jan 01 off; Dec 25 off",yes,https://www.lartisana.vda.it/,45.737761,7.487521
Q37870367,musees,Museo dell'Arte Vetraria,Museo dell'Arte Vetraria,009,node/972240047,"Tu-Su 15:00-19:00; Mo off; Jan 01 off; easter off, Dec 25-26 off",yes,https://www.museodelvetro.org/,44.336119,8.342077
Q3867987,musees,Museo del tessile e della tradizione industriale bustese,Museo del tessile e della tradizione industriale bustese,012,way/96255563,"Tu,We,Th 14:30-18:00; Fr 09:30-13:00, 14:30-18:00; Sa 14:30-18:30; Su 15:00-18:30",no,https://www.comune.bustoarsizio.va.it/index.php/visita-busto/museo-del-tessile,45.614837,8.846864
Q68660455,musees,Museo del territorio,Museo del territorio,030,node/2366129988,"Jun-Jul,Sep: Sa 14:00-18:00, Jun-Jul,Sep: Su 12:00-18:00, Aug: Tu-Fr 10:00-12:00, Aug: Tu-Fr 14:00-18:00, Aug: Sa,Su 12:00-18:00",no,https://www.comune.dogna.ud.it/it/vivere-il-comune-69050/luoghi-69051/il-museo-del-territorio-72900,46.447876,13.315625
Q27992824,musees,Museo del bijou,Museo del bijou,019,node/5549726279,"Tu-Sa 10:00-12:00,15:00-18:00; Su,PH 15:00-19:00",yes,https://www.museodelbijou.it/,44.985709,10.416290
Q30889387,musees,Museo del Tesoro del Duomo,Museo del Tesoro del Duomo,002,node/10681103393,"Apr-Oct: Tu-Fr 15:00-18:00; Sa 10:00-12:00,15:00-18:00; Su 15:00-18:00; Nov-Mar: We-Fr 15:00-18:00; Sa 09:00-12:00,14:00-18:00; Su off; PH, Mo, Aug 13-26 off",yes,http://www.tesorodelduomovc.it,45.329805,8.423447
Q55369104,musees,"Museo del Territorio ""Luigi Ghirotti""","Museo del Territorio ""Luigi Ghirotti""",099,node/4449205701,"Jul-Aug Tu 09:00-13:30,20:30-23:00; Jul-Aug We-Sa 09:00-13:30; Sep-Jun Mo-Fr 09:00-14:00; Sep-Jun Th 09:00-14:00,15:00-18:00; PH off",no,https://www.comune.riccione.rn.it/museodelterritorio,43.994397,12.652272
Q3867971,musees,Museo del Salame di Felino,Museo del Salame di Felino,034,way/179710646,"Mar 01-Dec 08: Sa, Su-PH 10:00-18:00",yes,https://salamedifelino.museidelcibo.it/,44.694903,10.243769
