# Décisions éditoriales, cumulées au fil des revues.
#
# keep    : validé, et conservé même si un plancher venait à monter.
# drop    : écarté du catalogue.
# promote : remonté dans le classement.
# demote  : descendu dans le classement.
#
# Ce fichier est la mémoire de la curation. Le supprimer perd tout le travail
# de relecture ; en corriger une ligne suffit à revenir sur un verdict.
#
wikidata_id,decision,name,note
Q1726347,keep,Parc floral de Paris,
Q1728299,keep,Cap Fagnet,
Q17311549,drop,Abbaye Saint-Thierry,
Q17326807,drop,Villa Rustica,
Q17347123,keep,Maison Zervos,
Q1734979,drop,Cascades du Sautadet,
Q1736164,keep,Cathédrale Saint-Jean de Belley,
Q1736169,keep,Cathédrale Saint-Pierre d'Angoulême,
Q1736171,keep,Cathédrale Sainte-Marie de Bayonne,
Q1736174,keep,Cathédrale Saint-Nazaire-et-Saint-Celse de Béziers,
Q1736175,keep,Cathédrale Saint-Michel de Carcassonne,
Q1736177,keep,Cathédrale Notre-Dame de Dax,
Q1736197,keep,Cathédrale Saint-Pierre de Montpellier,
Q1736213,promote,Cathédrale Saint-Front,
Q1736217,keep,Cathédrale Notre-Dame de Senlis,
Q1736223,keep,Cathédrale Saint-Gervais-et-Saint-Protais de Soissons,
Q17373121,promote,Porte d'Aval,
Q17376345,drop,Abbaye du Val-de-Grâce,
Q17402102,keep,Villa Alicius,
Q17417892,keep,Okabe,
Q174274,drop,Cinémathèque française,
Q1748506,drop,Abbaye Saint-Victor de Paris,
Q175164,drop,Île Louviers,
Q1753191,keep,Arc de Carpentras,
Q1754337,keep,Marais poitevin,
Q1754399,keep,Abbaye aux Dames de Caen,
Q175676,keep,Cap Fréhel,
Q1758359,keep,Grotte du Pech Merle,
Q1758497,keep,Pont Royal,
Q1758703,keep,La Tournette,
Q1759146,keep,Hauts-Forts,
Q17605756,keep,Gorges de la Carança,
Q1760862,keep,Pampelonne,
Q1761198,drop,Massif des Maures,
Q17644673,drop,Roc de Marsal,
Q1765935,drop,Château de Madrid,demoli a la fin du XVIIIe siecle
Q177050,drop,Abbaye de Marmoutier,
Q1770845,keep,Phare des Baleines,
Q1773424,keep,Pont de pierre,
Q177352,keep,Brantôme,
Q1774965,keep,Abbaye d'Auberive,
Q1775011,drop,Abbaye de Bellebranche,
Q1775013,keep,Abbaye de Belleperche,
Q1775017,drop,Abbaye Notre-Dame de Bellevaux,
Q1775020,drop,Abbaye de Berdoues,
Q1775032,drop,Plateau de Langres,
Q1775054,drop,Abbaye de Bonlieu,
Q1775062,drop,Abbaye de Bonlieu,
Q1775220,drop,Abbaye de Fontaine-Daniel,
Q1775231,keep,Abbaye de Fontmorigny,
Q1775248,drop,Abbaye de Féniers,
Q1775457,keep,Abbaye de la Bénisson-Dieu,
Q1775467,drop,Abbaye de la Crête,
Q1775477,keep,Abbaye de La Prée,
Q1775489,keep,Abbaye Notre-Dame de Langonnet,
Q1775511,drop,Abbaye Notre-Dame du Val,
Q1775512,drop,Abbaye des Châtelliers,
Q1775540,keep,Abbaye de Loc-Dieu,
Q1775546,drop,Abbaye Notre-Dame de Loroy,
Q1775559,drop,Abbaye Notre-Dame de l'Étoile,
Q1775678,drop,Abbaye Notre-Dame de Mores,
Q1775829,drop,Abbaye de Prébenoît,
Q1775889,drop,Abbaye de Saint-Benoît-en-Woëvre,
Q1775959,drop,Église Sainte-Walburge de Walbourg,
Q1776043,drop,Abbaye de Sept-Fons,
Q1776201,drop,Abbaye de Valcroissant,
Q1776233,keep,Abbaye de Vauclair,
Q1776236,keep,Abbaye de Valloires,
Q177657,keep,Grotte de Villars,
Q1777218,keep,Arc antique d'Orange,
Q17783615,keep,Phare de Contis,
