# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q12324327,3,jardins,Domaine des Colombières
Q1232844,1,grottes,Grotte du Mas-d'Azil
Q123371156,3,cascades,Cascade du Py
Q123437912,3,plages,Pointe de la Courte Dune
Q1235906,3,megalithes,Dolmen de Bagneux
Q1235923,3,megalithes,Dolmen de Fontanaccia
Q123812815,3,cascades,Cascade Didier
Q1242068,3,sommets,Donon
Q1243526,2,megalithes,Porte de Mars
Q124400021,3,cascades,Cascade de Bérard
Q1245463,1,abbayes,Abbaye Notre-Dame de Sénanque
Q1245499,3,abbayes,Abbaye de Flaran
Q124934534,2,cascades,Cascade d'Arcouzan
Q1249452,3,cathedrales,Cathédrale Saint-Pierre-et-Saint-Paul de Maguelone
Q1250285,2,plages,Pointe de la Torche
Q125814,3,chateaux,Château de Germolles
Q126042931,3,megalithes,Épaves de la rade de Saint-Pierre
Q1265070,3,musees,Musée Grévin
Q1267547,1,volcans,Mont Mézenc
Q1270698,2,jardins,Désert de Retz
Q1272235,1,phares,Phare du Créac'h
Q1275971,3,cathedrales,Basilique du Sacré-Cœur de Paray-le-Monial
Q128259,2,villages,Rochefort-en-Terre
Q1284848,2,musees,Hospices de Beaune
Q1289258,1,chateaux,Château des ducs de Bretagne
Q1290232,3,megalithes,Uxellodunum
Q129455094,3,maisons,Mas du Bayle-Vert
Q1296575,3,chateaux,Fort de Planoise
Q1298462,3,lacs,Lac de Narlay
Q1300190,3,abbayes,Abbaye Saint-Jean-des-Vignes
Q1307212,3,abbayes,Abbaye d'Aulps
Q1307926,3,sommets,Pic Saint-Loup
Q1310277,2,megalithes,Tumulus de Bougon
Q131760299,2,cascades,Cascade des Brochaux
Q131830,1,cirques,Cirque de Mafate
Q1319378,3,musees,Musée des Arts décoratifs
Q1321907,3,lacs,Lac du Verney
Q1323726,3,megalithes,Tumulus du Mané-Lud
Q1324926,3,musees,Musée des Beaux-Arts et d'Archéologie de Besançon
Q1326818,3,chateaux,Château de Miromesnil
Q132733274,2,rochers,Source du Doubs
Q1327886,3,musees,Musée Marmottan Monet
Q1328655,3,megalithes,Pierre-aux-Fées
Q1329141,1,ponts,Pont des Arts
Q1329745,3,cathedrales,Cathédrale Notre-Dame-du-Puy de Grasse
Q1329976,3,chateaux,Citadelle de Besançon
Q1333383,2,maisons,Château de Montaigne
Q1333442,1,ponts,Viaduc de Garabit
Q1334057,1,sommets,Ballon d'Alsace
Q1334492,1,iles,Marie-Galante
Q1336068,2,lacs,Lac du Mont-Cenis
Q1337859,2,sommets,Mont Aiguille
Q1338868,1,gorges,Gorges du Gardon
Q1339136,3,chateaux,Château de Grésillon
Q1339429,2,cathedrales,Basilique Saint-Quentin
Q134435353,3,maisons,Bibliothèque Smith-Lesouëf
Q1344947,3,cathedrales,Cathédrale Notre-Dame-de-Grâce de Cambrai
Q1348930,3,lacs,Lac de Naussac
Q1349239,3,cathedrales,Cathédrale Saint-Alain de Lavaur
Q13516822,3,chateaux,Fort Saint-Elme
Q1351690,3,cathedrales,Cathédrale Saint-Étienne de Toul
Q13518333,3,maisons,Maison natale de Colette
Q13518357,3,megalithes,La Tourasse
Q13518426,3,chateaux,Vieux pont de Sospel
Q135225,1,phares,Phare d'Eckmühl
Q1357930,2,phares,Phare du Portzic
Q1364525,2,phares,Phare du Petit Minou
Q1364573,1,phares,Phare de Goulphar
Q1364985,2,jardins,Roseraie du Val-de-Marne
Q1366553,2,cathedrales,Cathédrale Sainte-Croix d'Orléans
Q1367746,3,megalithes,Quentovic
Q1368360,3,musees,Musée Picasso
Q136871,3,sommets,Tête du Géant
Q136877,3,sommets,Pointe de Chésery
Q1369366,2,iles,Île Sainte-Marguerite
Q1369923,1,sommets,Massif de l'Estérel
Q1376,3,musees,"Musée Saint-Raymond, musée d'Archéologie de Toulouse"
Q1377160,3,chateaux,Château du Plessis-Bourré
Q13837005,2,iles,Houat
Q138905156,3,maisons,Musée Buffon
Q1390535,3,villages,Puycelsi
Q1392601,2,chateaux,Château de Hautefort
Q1394288,3,abbayes,Abbaye Royale Notre-Dame de Bernay
